"";"3";"6";"8";"9";"11";"12";"16";"18";"19";"28";"30";"31";"33";"34";"35";"36";"37";"39";"40";"49";"51";"52";"54";"58";"64";"66";"67";"70";"77";"79";"83";"85";"90";"91";"92";"94";"96";"98";"99";"100";"102";"104";"107";"110";"111";"118";"119";"122";"123";"124";"125";"126";"128";"129";"130";"132";"137";"139";"140";"141";"144";"148";"151";"155";"157";"158";"159";"161";"162";"163";"166";"175";"177";"180";"181";"188"
"OTU_0";0;2;0;0;15;1;4;5;0;1;29;4;7;5;0;3;16;9;10;3;0;89;3;0;8;1;1;18;8;1;0;8;0;4;2;0;6;0;2;6;1;2;3;3;2;2;4;5;6;1;3;5;15;1;11;0;4;0;1;0;2;15;6;1;5;0;0;3;16;0;29;1;5;0;0;21
"OTU_1";0;39;2;10;6;4;0;10;2;0;79;38;14;3;10;40;106;20;50;54;14;64;107;22;52;0;2;0;0;1;11;75;12;100;23;6;44;5;9;10;0;10;40;65;43;100;18;0;6;0;24;22;3;39;30;0;0;0;13;43;2;1;1;3;119;5;3;26;28;50;28;14;0;0;0;55
"OTU_2";7;21;1;0;14;0;3;0;2;2;6;11;7;2;2;11;10;7;2;11;1;11;1;52;1;1;1;39;2;9;8;11;2;24;7;9;1;1;4;2;1;0;13;5;3;6;4;2;3;52;1;2;0;9;2;2;14;19;0;12;1;5;7;7;6;0;1;7;7;9;28;3;8;0;7;3
"OTU_3";0;26;0;1;7;20;22;0;1;1;17;0;0;27;3;11;18;2;3;8;1;5;13;0;11;4;4;2;1;4;8;6;3;4;9;4;9;11;3;2;0;3;15;23;2;11;1;3;8;6;6;3;7;0;3;0;0;1;1;12;15;40;8;2;22;0;0;9;13;4;34;4;5;0;0;6
"OTU_4";110;58;2;23;130;118;73;172;0;14;596;181;171;19;29;151;33;110;138;145;245;197;131;262;183;19;47;515;215;9;306;325;55;219;249;67;94;90;45;34;49;52;151;45;178;226;31;2;144;0;82;99;110;125;77;9;126;185;35;89;55;8;114;34;160;0;27;161;132;38;29;276;19;1;1;164
"OTU_5";0;8;0;3;10;0;0;0;0;0;3;0;1;3;4;5;3;2;1;1;0;5;0;1;3;0;5;1;1;3;1;2;1;6;2;3;0;1;1;0;4;0;1;2;1;6;0;1;0;0;4;1;13;1;7;0;2;1;0;4;1;1;2;5;2;0;0;4;2;1;2;6;1;0;0;3
"OTU_6";0;0;0;0;2;0;2;0;0;0;0;0;0;1;4;1011;1;0;1;1;0;23;0;0;1;30;0;0;0;0;0;0;148;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;133;0;0;0;0;0;0;6;0;6;0;0;0;0;2;0;599;0;3;0;0;0;0;0;3
"OTU_7";5;0;0;0;49;3;0;4;0;6;0;1;3;0;0;100;9;0;2;1;1;7;1;0;1;0;6;15;14;84;0;0;24;0;2;0;6;3;0;2;15;1;0;0;8;0;1;0;0;0;0;33;3;3;2;0;0;19;1;0;0;0;21;16;0;0;0;43;2;0;0;2;0;0;1;1
"OTU_8";0;0;0;0;14;0;0;13;0;0;0;3;0;0;0;4;0;0;0;0;2;2;0;3;1;0;0;0;0;0;0;3;0;0;0;0;4;0;1;0;5;3;0;0;0;0;34;0;0;0;2;3;7;4;7;0;0;0;0;5;0;0;3;0;0;0;0;0;0;1;0;0;2;0;1;0
