otu_id;151;126;96;175;79;100;99;163;manual_tax;tax
OTU_82;34;118;75;177;55;29;60;54;Bifidobacterium;"Bacteria; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium"
OTU_120;0;2;8;5;0;2;0;0;Bifidobacterium;"Bacteria; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium"
OTU_232;0;7;2;31;0;0;0;26;Bifidobacterium;"Bacteria; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium"
OTU_267;0;0;0;0;0;0;0;0;Bifidobacterium;"Bacteria; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium"
OTU_433;0;0;0;0;0;0;0;0;Bifidobacterium;"Bacteria; Actinobacteria; Actinobacteria; Bifidobacteriales; Bifidobacteriaceae; Bifidobacterium"
OTU_211;0;0;0;0;0;0;0;0;O_Actinobacteria;"Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; ?"
OTU_227;0;0;0;0;0;0;0;0;O_Actinobacteria;"Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; ?"
OTU_245;0;0;0;4;0;0;2;1;O_Actinobacteria;"Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; ?"
OTU_294;0;0;0;0;1;0;0;0;O_Actinobacteria;"Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; ?"
OTU_397;0;0;0;2;0;0;0;1;O_Actinobacteria;"Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; ?"
OTU_423;0;0;0;9;0;0;0;0;O_Actinobacteria;"Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; ?"
OTU_432;0;0;0;0;0;0;0;0;O_Actinobacteria;"Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; ?"
OTU_482;0;1;13;4;0;4;6;2;O_Actinobacteria;"Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; ?"
OTU_510;0;0;177;1;0;9;0;0;O_Actinobacteria;"Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; ?"
OTU_522;0;7;0;0;0;0;0;0;O_Actinobacteria;"Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; ?"
OTU_538;0;0;5;0;0;2;0;0;O_Actinobacteria;"Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; ?"
OTU_621;0;0;0;0;0;0;0;0;O_Actinobacteria;"Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; ?"
OTU_712;0;0;0;0;0;0;0;0;O_Actinobacteria;"Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; ?"
OTU_164;2;0;0;40;0;0;0;0;O_Actinobacteria;"Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; Collinsella"
OTU_337;0;0;4;36;0;1;0;0;O_Actinobacteria;"Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; Collinsella"
OTU_540;0;0;21;0;0;4;0;0;O_Actinobacteria;"Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; Collinsella"
OTU_657;0;0;11;0;0;0;0;0;O_Actinobacteria;"Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; Collinsella"
OTU_280;9;0;0;0;4;0;0;0;O_Actinobacteria;"Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; Eggerthella"
OTU_353;1;0;0;1;0;0;0;0;O_Actinobacteria;"Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; Enterorhabdus"
OTU_408;0;0;0;0;0;0;0;0;O_Actinobacteria;"Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; Enterorhabdus"
OTU_153;0;0;26;170;0;0;16;47;O_Actinobacteria;"Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; Gordonibacter"
OTU_383;0;0;0;0;0;0;2;0;O_Actinobacteria;"Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; Gordonibacter"
OTU_183;0;0;0;1;0;1;0;0;O_Actinobacteria;"Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; Olsenella"
OTU_226;0;0;4;2;0;0;0;0;O_Actinobacteria;"Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; Olsenella"
OTU_616;0;0;0;2;0;0;0;3;O_Actinobacteria;"Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; Olsenella"
OTU_194;0;0;0;0;0;2;0;0;O_Actinobacteria;"Bacteria; Actinobacteria; Actinobacteria; Coriobacteriales; Coriobacteriaceae; Slackia"
