gene ;151f_1_10;126f_10_10;96f_11_10;175f_17_10;79f_1_40;100f_10_40;99f_11_40;163f_17_40
Contig1788;2;2;0;0;2;2;0;0
Contig18;1;0;0;1;0;0;1;0
Contig180;1;0;0;0;0;1;1;0
Contig181;3;0;0;0;0;0;0;0
Contig183;3;1;1;1;0;0;0;0
Contig1830;0;1;4;0;0;0;1;2
Contig1837;0;1;0;0;0;0;0;1
Contig184;1;0;0;0;0;0;0;1
Contig1843;0;1;0;1;0;0;0;0
Contig1851;0;1;0;1;0;0;0;0
Contig1852;0;12;3;3;0;0;0;1
Contig1874;0;1;0;2;0;0;1;0
Contig188;1;0;0;0;0;0;2;0
Contig1881;0;2;3;1;1;1;18;2
Contig1882;1;2;1;1;2;0;1;2
Contig1885;0;2;0;0;0;0;0;0
Contig1886;0;1;0;0;1;0;0;1
Contig189;1;0;0;0;0;1;0;0
Contig1890;0;1;1;0;0;0;0;0
Contig1894;2;8;3;1;0;0;0;4
Contig1895;0;4;0;0;0;0;0;0
Contig19;1;0;0;1;0;0;0;0
Contig190;3;0;0;3;1;0;1;0
Contig191;1;0;1;0;0;0;0;0
Contig1911;0;1;1;1;0;0;1;0
Contig192;1;0;1;0;0;0;0;0
Contig1928;0;2;0;0;0;0;0;0
Contig193;1;0;0;1;0;0;0;0
Contig1931;0;13;0;0;0;4;0;0
Contig1935;0;1;2;0;0;0;4;0
Contig1947;0;2;0;0;0;0;0;0
Contig1948;0;1;0;0;0;1;0;0
Contig1955;0;2;0;0;0;0;0;0
Contig1957;0;3;0;0;0;0;0;0
Contig1958;0;1;1;0;0;0;0;0
Contig1967;0;2;0;0;0;0;0;0
Contig1975;0;2;0;0;0;0;0;0
Contig1979;0;1;6;0;0;0;0;1
Contig198;2;0;3;0;0;0;1;0
Contig1982;0;1;1;0;0;0;0;0
Contig1983;0;1;1;0;0;0;0;0
Contig1986;0;1;0;0;0;0;1;0
Contig1990;0;2;0;0;0;0;0;0
Contig2;1;0;0;0;0;0;1;0
Contig20;1;0;0;0;2;0;0;0
Contig200;1;0;1;1;0;0;0;3
Contig2006;0;1;0;0;0;0;1;0
Contig201;2;0;0;0;0;0;0;0
Contig2010;0;1;0;1;0;1;0;0
Contig2017;0;2;0;0;0;0;0;0
Contig2018;0;1;0;0;1;0;0;0
Contig202;2;0;0;0;0;0;0;0
Contig203;1;0;0;0;0;0;1;0
Contig2030;0;1;0;0;0;1;0;0
Contig2032;0;1;1;0;0;0;0;0
Contig2037;0;2;0;0;0;0;0;0
Contig2040;0;2;0;0;0;0;0;0
Contig2049;0;3;5;1;3;1;0;1
Contig205;1;0;0;0;0;1;0;0
Contig2055;0;2;0;0;0;0;0;0
Contig2057;0;1;2;0;0;0;0;0
Contig206;1;0;2;0;0;0;0;0
Contig2063;0;1;0;0;0;1;0;1
Contig2066;0;2;0;0;0;0;0;0
Contig2072;0;1;0;1;0;0;0;0
Contig208;2;0;0;0;0;0;0;0
Contig2085;0;3;0;0;3;0;3;1
Contig2095;0;1;0;1;0;0;0;0
Contig2097;0;1;0;1;1;0;0;0
Contig2103;0;1;0;0;0;0;0;1
Contig2108;0;1;0;1;0;1;0;0
Contig211;1;0;0;1;0;0;0;0
Contig212;7;0;0;0;0;0;0;0
Contig2121;0;1;0;0;0;1;0;0
Contig2124;0;2;0;0;0;0;0;0
Contig2127;0;1;1;0;0;1;0;0
Contig2131;0;2;2;0;0;0;0;0
Contig2135;0;1;1;0;0;0;0;0
Contig2142;0;6;1;1;0;10;1;2
Contig215;1;0;1;0;0;0;0;0
Contig2156;0;2;0;0;0;0;0;0
Contig2157;0;8;6;0;3;1;0;0
Contig2158;0;1;1;1;0;0;0;0
Contig216;2;0;1;1;0;1;3;0
Contig2163;0;2;0;0;0;0;0;0
Contig2177;0;3;0;0;0;0;0;0
Contig218;2;0;0;1;0;0;0;2
Contig2194;0;1;1;1;1;3;8;0
Contig2197;0;2;0;0;0;0;0;0
Contig220;1;0;0;2;0;0;0;0
Contig2202;0;1;0;0;0;0;1;0
Contig2216;0;1;1;0;0;0;0;0
Contig2217;0;2;0;0;0;0;0;0
Contig222;1;0;0;0;0;1;0;0
Contig2226;0;1;0;0;0;0;0;1
Contig2244;0;3;0;0;0;0;0;0
Contig225;2;0;0;0;0;0;0;0
Contig2254;0;1;1;0;0;0;1;0
Contig2257;0;1;0;1;0;0;0;0
Contig2261;0;2;0;0;1;0;0;0
