"";"domain";"phylum";"class";"order";"family";"genus"
"OTU_678";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_679";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Oscillibacter"
"OTU_680";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Rikenellaceae";"Alistipes"
"OTU_681";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"Faecalibacterium"
"OTU_682";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_683";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"?"
"OTU_684";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_685";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Rikenellaceae";"Alistipes"
"OTU_686";"Bacteria";"?";"?";"?";"?";"?"
"OTU_687";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_688";"Bacteria";"?";"?";"?";"?";"?"
"OTU_689";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"?"
"OTU_690";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Porphyromonadaceae";"Butyricimonas"
"OTU_691";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_692";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"?"
"OTU_693";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_694";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_695";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Dorea"
"OTU_696";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_697";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"?"
"OTU_698";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Porphyromonadaceae";"Porphyromonas"
"OTU_699";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_700";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"?"
"OTU_701";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_702";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_703";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_704";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"?";"?"
"OTU_705";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"?"
"OTU_706";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
"OTU_707";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Lachnospiraceae";"Lachnospiracea_incertae_sedis"
"OTU_708";"Bacteria";"Bacteroidetes";"Bacteroidia";"Bacteroidales";"Bacteroidaceae";"Bacteroides"
"OTU_709";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Ruminococcaceae";"?"
